epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,523.317,1.68739,1.67422,1.58811,0.59693,0.53071,0.55538,0.28501,1.37236,3.70952,1.27558,0.000841835,0.000841835,0.000841835
7,596.844,1.63461,1.56801,1.5452,0.62243,0.56087,0.59971,0.31309,1.32848,3.21957,1.23862,0.000676802,0.000676802,0.000676802
8,669.684,1.59199,1.49202,1.50911,0.67177,0.57694,0.63287,0.33725,1.29269,1.95161,1.20216,0.000511769,0.000511769,0.000511769
9,742.797,1.54995,1.41107,1.4858,0.68573,0.58544,0.65277,0.35271,1.26578,2.40956,1.18989,0.000346736,0.000346736,0.000346736
10,815.865,1.49805,1.33943,1.44485,0.68647,0.60598,0.67427,0.37448,1.21874,1.81722,1.15615,0.000181703,0.000181703,0.000181703
1,104.062,1.87169,3.29923,1.7546,0.36978,0.3753,0.31808,0.13671,1.53849,10.3165,1.46478,0.000555037,0.000555037,0.000555037
2,179.381,1.90691,2.22075,1.78478,0.4636,0.42525,0.39864,0.17713,1.53543,8.83393,1.41902,0.00100074,0.00100074,0.00100074
3,252.934,1.88026,2.09099,1.74785,0.46354,0.38606,0.37893,0.17012,1.57674,3.58175,1.42359,0.00133643,0.00133643,0.00133643
4,325.858,1.80653,1.91865,1.68309,0.57387,0.47883,0.49918,0.23802,1.49885,2.50268,1.37591,0.0011719,0.0011719,0.0011719
5,398.587,1.73519,1.77584,1.63025,0.58917,0.4833,0.52604,0.25679,1.39724,2.38505,1.27509,0.00100687,0.00100687,0.00100687
6,471.234,1.68739,1.67422,1.58811,0.59693,0.53071,0.55538,0.28501,1.37236,3.70952,1.27558,0.000841835,0.000841835,0.000841835
7,544.032,1.63461,1.56801,1.5452,0.62243,0.56087,0.59971,0.31309,1.32848,3.21957,1.23862,0.000676802,0.000676802,0.000676802
8,616.61,1.59199,1.49202,1.50911,0.67177,0.57694,0.63287,0.33725,1.29269,1.95161,1.20216,0.000511769,0.000511769,0.000511769
9,691.692,1.54995,1.41107,1.4858,0.68573,0.58544,0.65277,0.35271,1.26578,2.40956,1.18989,0.000346736,0.000346736,0.000346736
10,811.519,1.49805,1.33943,1.44485,0.68647,0.60598,0.67427,0.37448,1.21874,1.81722,1.15615,0.000181703,0.000181703,0.000181703
1,145.012,1.87169,3.29923,1.7546,0.36978,0.3753,0.31808,0.13671,1.53849,10.3165,1.46478,0.000555037,0.000555037,0.000555037
1,123.169,1.87132,3.35548,1.75958,0.46463,0.37782,0.35853,0.14256,1.64383,6.79751,1.47818,0.000555042,0.000555042,0.000555042
1,102.017,1.87132,3.35548,1.75958,0.46463,0.37782,0.35853,0.14256,1.64383,6.79751,1.47818,0.000555042,0.000555042,0.000555042
2,177.492,1.91488,2.23135,1.78431,0.36338,0.3605,0.26934,0.11543,1.68164,4.76833,1.52703,0.00100075,0.00100075,0.00100075
3,251.627,1.87478,2.09235,1.75299,0.48229,0.40784,0.41102,0.18735,1.52444,5.76021,1.40137,0.00133643,0.00133643,0.00133643
4,341.93,1.81094,1.93427,1.68872,0.56273,0.46121,0.48535,0.23463,1.43236,3.38327,1.31524,0.0011719,0.0011719,0.0011719
5,467.178,1.73861,1.77998,1.63382,0.57833,0.50333,0.54,0.26495,1.38853,2.66826,1.26877,0.00100687,0.00100687,0.00100687
6,550.661,1.67962,1.68321,1.59014,0.62391,0.53633,0.57906,0.29033,1.33707,3.09089,1.24422,0.000841835,0.000841835,0.000841835
7,624.344,1.62827,1.57317,1.5457,0.63737,0.55336,0.59742,0.30929,1.31987,2.73905,1.22155,0.000676802,0.000676802,0.000676802
8,698.096,1.57842,1.50391,1.51163,0.65536,0.57137,0.62413,0.32825,1.31309,2.52273,1.22036,0.000511769,0.000511769,0.000511769
9,771.857,1.53882,1.3935,1.47607,0.65635,0.59632,0.65136,0.35459,1.26305,1.98115,1.1842,0.000346736,0.000346736,0.000346736
10,844.695,1.49972,1.34701,1.45041,0.6814,0.59831,0.66338,0.36574,1.24696,1.71919,1.17197,0.000181703,0.000181703,0.000181703
